unique_id,n_estimators,max_depth,min_samples_split,max_features,criterion
M40565,590,10,9,0.5435646498507704,absolute_error
M40738,51,4,40,0.8770307404231072,squared_error
M40790,164,8,26,0.5427909852144925,squared_error
M40814,571,8,61,0.7724415914984484,absolute_error
M41000,234,2,48,0.9929179492290451,squared_error
M41212,946,4,26,0.9294026686605589,squared_error
M41311,170,10,89,0.6804772853140679,squared_error
M41349,944,5,4,0.5100229215872223,absolute_error
M41546,590,10,9,0.5435646498507704,absolute_error
M41568,861,3,3,0.6715227288286428,absolute_error
M41714,559,9,2,0.6600310929821744,absolute_error
M41767,864,6,2,0.9381783580979227,squared_error
M42081,827,2,2,0.5259654098452785,squared_error
M42166,765,3,13,0.5454648550245749,absolute_error
M42213,179,6,3,0.9059040825339825,squared_error
M42305,77,10,27,0.5175187517395857,squared_error
M42545,672,3,28,0.5096061191414203,absolute_error
M42554,863,5,3,0.605151503533745,absolute_error
M42737,513,8,10,0.6892259239305734,squared_error
M42944,379,5,4,0.9967299386517378,squared_error
M42955,446,6,2,0.5720800925144776,absolute_error
M43202,681,6,47,0.6722502090708259,squared_error
M43278,58,1,45,0.945663667713993,squared_error
M43304,663,9,2,0.6472300267672124,absolute_error
M43326,856,8,2,0.655151407221568,absolute_error
M43645,400,4,94,0.7980252375115873,absolute_error
M43733,571,8,61,0.7724415914984484,absolute_error
M43776,380,8,3,0.6627285560926338,squared_error
M43834,767,7,60,0.6134429539397557,absolute_error
M44137,77,6,31,0.864685157088115,absolute_error
M44166,301,8,47,0.7842169744343243,absolute_error
M44188,590,10,9,0.5435646498507704,absolute_error
M44366,879,6,5,0.8035944365394141,squared_error
M44540,162,7,16,0.972334458524792,squared_error
M44567,162,7,16,0.972334458524792,squared_error
M44850,248,2,66,0.626645801269891,squared_error
M44899,301,8,47,0.7842169744343243,absolute_error
M45043,788,6,2,0.5675056499431321,absolute_error
M45071,944,5,4,0.5100229215872223,absolute_error
M45257,349,4,58,0.7193007567311602,squared_error
M45360,658,2,59,0.9225504187964175,squared_error
M45524,162,7,16,0.972334458524792,squared_error
M45684,1000,5,10,0.5042520122657679,absolute_error
M45855,696,3,43,0.8971033009192546,squared_error
M45863,162,7,16,0.972334458524792,squared_error
M45906,734,2,61,0.5805702490663209,squared_error
M45948,50,5,6,0.8628963429068292,squared_error
M46226,590,10,9,0.5435646498507704,absolute_error
M46283,69,5,4,0.9648201775139152,squared_error
M46338,910,2,18,0.9397988454368679,absolute_error
M46574,558,10,13,0.7193182470369218,absolute_error
M46601,153,6,2,0.9631224091779365,squared_error
M46711,235,5,2,0.9513836448607997,absolute_error
M46864,856,8,8,0.6290586253577659,absolute_error
M46940,330,4,47,0.6430709226037883,squared_error
M47016,53,10,2,0.5915923471303716,absolute_error
M47166,816,9,12,0.5917766080473762,absolute_error
M47312,275,10,74,0.6991142582979183,squared_error
M47462,679,4,2,0.5804463821997615,absolute_error
M47573,651,9,14,0.8306567224533037,squared_error
M47606,424,6,3,0.605151503533745,absolute_error
M47801,69,5,4,0.9648201775139152,squared_error
