unique_id,size,complexity,transformations,n_transformations,final_status,nmae_AutoARIMA,nrmse_AutoARIMA,smape_AutoARIMA,nmae_naive,nrmse_naive,smape_naive,nmae_seasonal_naive,nrmse_seasonal_naive,smape_seasonal_naive,%nmae_arima_vs_snaive,%nrmse_arima_vs_snaive,%smape_arima_vs_snaive,%nmae_arima_vs_naive,%nrmse_arima_vs_naive,%smape_arima_vs_naive,nmae_RF,nrmse_RF,smape_RF,nmae_LGBM,nrmse_LGBM,smape_LGBM,%nmae_rf_vs_snaive,%nrmse_rf_vs_snaive,%smape_rf_vs_snaive,%nmae_rf_vs_naive,%nrmse_rf_vs_naive,%smape_rf_vs_naive,%nmae_lgbm_vs_snaive,%nrmse_lgbm_vs_snaive,%smape_lgbm_vs_snaive,%nmae_lgbm_vs_naive,%nrmse_lgbm_vs_naive,%smape_lgbm_vs_naive
M25542,468,1700.895,['difference'],1,stationary,0.0283243282796729,0.0334167277445091,0.0140710833900813,0.0214214982683083,0.0270597120688621,0.0107250042400173,0.0299350893187942,0.0387014635486018,0.0151044879801115,5.380845942924917,13.655131665643705,6.841705534082967,-32.22384319203714,-23.492547368832117,-31.19886085992421,0.03016690743227264,0.03657244621269123,0.014914973695350315,0.031098692586928028,0.03656044253776545,0.015382563319373167,-0.7744026116297484,5.5011287447487005,1.254688573427473,-40.825385108111696,-35.154602235311785,-39.06729882398869,-3.8870880114704707,5.532144819659418,-1.841011357868046,-45.17515160429512,-35.11024228463961,-43.427107114582874
M25751,274,4341.268,"['detrend', 'detrend']",2,max_diff_reached,0.0689545094917572,0.0827648160395041,0.0349549313385303,0.0770334171774985,0.1098603857955802,0.0395443812083966,0.0435119436965215,0.0545419712334024,0.022106095207081,-58.4726023104999,-51.74518662944379,-58.123499474178985,10.487536424777971,24.663639727693543,11.605820421566785,0.028001203533364553,0.034299988313695386,0.014400920091480989,0.02771168235665567,0.03466032381829177,0.01419014663678905,35.64708639847989,37.11267206145731,34.85543260092311,63.65057586781479,68.7785655718357,63.582891800508975,36.31246962918128,36.45201477964696,35.808895673969246,64.02641428614922,68.450571543791,64.11589661244717
M25801,209,919.131,['difference'],1,stationary,0.1186139782527302,0.1439050849826038,0.0575195752286037,0.1152094492879079,0.1403192245449729,0.0560049452097243,0.1015956685708474,0.1103591373802049,0.049897557134167,-16.751018937401984,-30.397073046002195,-15.275333166996976,-2.955077891496908,-2.5555018916752434,-2.7044576388879618,0.2814728741468298,0.331290685811486,0.12290628840093741,0.21353549424638357,0.25062480969715883,0.09727784569088528,-177.05204179107855,-200.1932542025374,-146.31724569293232,-144.3140522644374,-136.0978596381182,-119.45613541926443,-110.1816910604563,-127.0992829834436,-94.95512661936503,-85.34546911404752,-78.61045805368782,-73.6951001855362
M25967,468,10050.793,['difference'],1,stationary,0.0932420616819087,0.1116770052270849,0.0466617762177139,0.2283117627097876,0.2507695944607627,0.1048531181410202,0.1455299243436447,0.1857219726783306,0.0745942808112455,35.92928595102334,39.86871686932334,37.44590642841967,59.160202446323,55.46628949684778,55.49796034205006,0.2209599059631354,0.2651229911354358,0.09988629923218525,0.2686695089432429,0.30677889114125384,0.11846222234893561,-51.83125186087182,-42.7526249651824,-33.90610935031207,3.2200954779528024,-5.723738839047711,4.736930095063955,-84.61461459213332,-65.1817965947374,-58.808719731066525,-17.676595263624222,-22.33496321630603,-12.979207914076621
M26001,468,1178.752,['difference'],1,stationary,0.0272418313216004,0.0320067748133114,0.013637612724291,0.0292673807302256,0.0345646424290065,0.014664076449775,0.0401453467579903,0.0452229876348357,0.0199006465391077,32.141995220957135,29.22454599470945,31.4715092422193,6.920842788413093,7.400243242639723,6.999852523953116,0.02740380810815589,0.035423585164381426,0.01373314254785759,0.025698996492983746,0.032491107407267995,0.012868308919069836,31.738519352304284,21.66907359058626,30.99147547357347,6.367404856783532,-2.4850328978207745,6.348397767195864,35.98511765782976,28.153558385780364,35.337231914643006,12.192359371457663,5.99900614044368,12.246032246597553
M26125,190,698.824,['difference'],1,stationary,0.0032334291657292,0.0042234946912592,0.0016192907986721,0.0099169602044175,0.0114413001857764,0.0049714612094062,0.0173112860026358,0.0180409788420637,0.0087343047415616,81.32184307256564,76.58943714621557,81.46056444576702,67.3949567298965,63.0855355363383,67.42827248438795,0.00355524270241758,0.004107577116800485,0.0017820094474168566,0.005106307106459915,0.005730177574911795,0.0025585558240331556,79.46286196255863,77.23196089990746,79.59758103083713,64.14987426455639,64.09868590016592,64.15521770450054,70.5030169007523,68.2379896064646,70.70681754600982,48.50935164401168,49.91672727864059,48.535134515537045
M26212,220,3274.144,['detrend'],1,stationary,0.0433893278022095,0.0500133549728013,0.0215959585196655,0.0360630491143501,0.0463588529586389,0.0179666532728294,0.0430688060109437,0.05616495773163,0.0212913914400858,-0.7442086766564198,10.952741722378866,-1.4304705281318977,-20.315194826230517,-7.883072554497633,-20.200229790845487,0.08024699248335437,0.09235225869944533,0.03898482263704641,0.1011376995294314,0.11527166211724003,0.04842736792241678,-86.32277027360306,-64.4303893910633,-83.10133814762699,-122.51860132210155,-99.21169918039489,-116.98433227963693,-134.82819445640658,-105.23769049740307,-127.45046071174777,-180.44688958146637,-148.6508072580759,-169.54028213842415
M26445,303,2446.794,"['difference', 'difference']",2,stationary,0.1167435997460154,0.1331581180319008,0.066649700023953,0.1437648927720413,0.1639993487740046,0.068502623795702,0.3208895949166004,0.3414272859020094,0.1379628498668531,63.61876433657587,60.99956754185205,51.69011071583677,18.795473988821275,18.80570317666554,2.7048945997674387,0.11937300027373539,0.13545254715390848,0.06806688439973281,0.09566832292559829,0.10727093957013294,0.05299427008510928,62.799354617665124,60.327556482177656,50.66288898393759,16.966515279208362,17.40665547363506,0.6360915419367216,70.18653005858211,68.58161488565972,61.588014355854746,33.455017368326935,34.59063077259221,22.63906526681939
M26476,303,272.575,['difference'],1,stationary,0.0286174533107993,0.031589899699552,0.0140973170451697,0.0093701581367895,0.0110173248507336,0.0046760089691189,0.0283564103194707,0.0317804201778272,0.0144401425692353,-0.920578410269893,0.5994901175286499,2.374114538148673,-205.41056930981927,-186.72931158464075,-201.4818221750753,0.018001445602937056,0.022004890997346812,0.008921053101779321,0.031961928086809595,0.03781565642482519,0.015678733961238086,36.51719170329359,30.759597027923036,38.22046382848318,-92.11464033097842,-99.72989174301775,-90.78348995255058,-12.715000688444675,-18.99042307567947,-8.577418028002036,-241.10340103353604,-243.23809942217687,-235.3016229178112
M26758,540,1081.758,['difference'],1,stationary,0.0097513625148898,0.0105641880453896,0.0048924449673348,0.0087130409941436,0.0108235945781874,0.0043617647061624,0.0087130409941436,0.0100128451183098,0.004375215259839,-11.916867158596125,-5.506356290995758,-11.821811654468965,-11.916867158596125,2.3966763622193112,-12.166641185907215,0.014562901851025876,0.015673269465086,0.0073356086887294315,0.015540677670072955,0.016321869980382687,0.007833797299899857,-67.13914075251351,-56.53162792287052,-67.66280635525504,-67.13914075251351,-44.80650907483237,-68.1798350645902,-78.36112191505232,-63.00931241347184,-79.04941436385752,-78.36112191505232,-50.79897775620555,-79.60155642582211
M26788,192,10553.042,"['difference', 'detrend']",2,max_diff_reached,0.0560673129675845,0.0719976251378622,0.0273625902459949,0.1531565184908479,0.1899043250521055,0.0789060204861975,0.1084236085169966,0.1195950753284948,0.0569231042883879,48.28864881508225,39.79883792028678,51.93060781195524,63.392147118482015,62.087422117370025,65.3225570401421,0.059036178471436204,0.07268900201405569,0.02813184318065928,0.057454158608728934,0.07178107813272039,0.02737218397580815,45.5504393564049,39.2207398052144,50.57921817099833,61.4536951785281,61.72335622471397,64.3476593961798,47.009549493344565,39.97990474477523,51.91375397038567,62.48663839132502,62.201451645176974,65.31039861451868
M26860,540,976.801,['difference'],1,stationary,0.0259130217181795,0.028995714756864,0.0128391175202845,0.0250593895266363,0.0282439360524931,0.0124237754060419,0.0310586219488609,0.0335240372129666,0.0153167879315438,16.567380996986167,13.507688311332249,16.176174941723414,-3.406436500122501,-2.6617349047020835,-3.343123170438288,0.01734373780646301,0.024025341579372462,0.008819468213485246,0.015530757769127657,0.02136317032767085,0.007877796443400533,44.158057511308535,28.333984875545315,42.41959702711429,30.789464012968537,14.936283899241666,29.011367919640723,49.99534172926413,36.27506677683829,48.567568614194954,38.024197466504134,24.361922191134845,36.59096220002961
M26874,540,3391.968,['difference'],1,stationary,0.0170470841724568,0.0199676510724693,0.0084441296414645,0.0123941040543838,0.0144913249431031,0.0061765315791062,0.0133228174339977,0.0174235877608717,0.0067013410223906,-27.954047684803456,-14.60125977791368,-26.006565152419224,-37.54188360575487,-37.79037562726463,-36.71312990658136,0.021472246233591657,0.025866171761544144,0.010599207123302855,0.01409797393688413,0.01601225078888923,0.007101483264490842,-61.1689594934921,-48.454911333657854,-58.16546401516739,-73.24565083021804,-78.49418091928652,-71.60451602251268,-5.818262591427214,8.100151308399989,-5.971077143563979,-13.747422766695832,-10.495422963446751,-14.975260363171177
M27182,840,16399.598,['difference'],1,stationary,0.4879627594681935,0.5289621863855063,0.201728815107536,0.3970084043812009,0.4363090404098692,0.171987346699714,0.4248308504505598,0.4579544287934635,0.1814152318061572,-14.860481283475144,-15.505419999784978,-11.19728652282292,-22.90993190150699,-21.235669535657262,-17.29282355855514,0.5464835990861237,0.5887290972881117,0.2193966525129923,0.40235364568743265,0.4309396477292151,0.1737200397846201,-28.635573077271452,-28.55626242968978,-20.93618067716518,-37.65038549697783,-34.93396715664177,-27.565577772447348,5.290859818510981,5.899010767386199,4.241756298478528,-1.3463798869858057,1.2306397950429926,-1.0074538145712313
M27253,86,267.948,['difference'],1,stationary,0.0776505470142145,0.0906778947627811,0.0396599610040243,0.1036196360217581,0.1144524606292207,0.0498224781419341,0.2481364582633805,0.2676334933967993,0.1081146893447863,68.70651432777622,66.11862976793415,63.31676921574872,25.061938069431715,20.77243751312565,20.397454155048024,0.24681435095023832,0.31848918396504194,0.1535611506628956,0.38365455644348934,0.46574330959179744,0.26783476429859376,0.5328146143437085,-19.001990342383216,-42.03541775269496,-138.1926441996111,-178.27202859081993,-208.2166050139681,-54.61434370771316,-74.02280397740657,-147.73207592952286,-270.25275437459493,-306.9316701723136,-437.5781660952051
M27419,828,2895.842,['difference'],1,stationary,0.0313430156568056,0.038822645407671,0.015460180296835,0.0149629862970546,0.0174404472972124,0.0074737082137295,0.0308447524544547,0.035796828419032,0.0156173589714517,-1.615390504710985,-8.452751604748912,1.0064356905931615,-109.47032253164107,-122.60120251546564,-106.86090297764004,0.03949578065429141,0.04983633747986447,0.019340746159950167,0.03970524495444788,0.05019339449043427,0.01943810897315175,-28.04700155273024,-39.219980319172976,-23.841337035953153,-163.95653828852318,-185.75148693479943,-158.7838005826939,-28.72609372721201,-40.217434636606214,-24.46476391228711,-165.35642127977948,-187.79877967038698,-160.086538265478
M27429,325,336.121,"['difference', 'difference']",2,stationary,0.0307979838580421,0.0322914813835022,0.0155969874491991,0.0406589925018481,0.0430483501432953,0.0206998214566126,0.0498468687295384,0.0517206452250015,0.0255165938396509,38.2148073830929,37.56558673422592,38.87511966835255,24.25295866186974,24.987876942987523,24.65158464341907,0.03482203422341476,0.03646354500753071,0.01768036513300645,0.028481150646452146,0.030345499993200655,0.014411625844984902,30.141982614085805,29.49905236312787,30.710324253653056,14.355885178827366,15.29630081953363,14.586871340581432,42.86270858659833,41.328071486370796,43.52057357048063,29.951164812660885,29.508332160955277,30.378018596961955
M27489,427,1210.022,['difference'],1,stationary,0.2046799274527213,0.2164298628292087,0.094014418721695,0.1900661517424886,0.2036091118335036,0.0879785597191293,0.5002402158246794,0.5318252511416813,0.1964085014111166,59.08367200839844,59.304327433758765,52.13322333491727,-7.688783918786441,-6.296747174158396,-6.860602198802857,0.1716129662856865,0.2018754745229822,0.08808890699621237,0.13307292180745878,0.16131924231752837,0.0658221078645221,65.69388848460113,62.04101364318232,55.150155740037334,9.708822579731821,0.8514536971896602,-0.12542519158685717,73.39819598708608,69.66687046709032,66.48713910466373,29.98599667143636,20.77012621643218,25.1839219979748
M27594,187,559.548,['difference'],1,stationary,0.0369635740916416,0.043577372919642,0.0182670683345287,0.0273628552544613,0.0340228662419676,0.0135766315303756,0.0680326063009473,0.0821897196305736,0.0323881536490196,45.66785531024564,46.97953330962356,43.59953786658139,-35.08668502573386,-28.082603651684146,-34.54786847281645,0.03042259436259001,0.03583202643063921,0.015057563270800104,0.03117251579494111,0.037651700721367615,0.01584502836615665,55.28233296250124,56.40327453153871,53.50904088583049,-11.18209002560083,-5.317483176770069,-10.907946769499857,54.18003588301885,54.18928195569409,51.077704095564314,-13.92274492209169,-10.665869399691577,-16.70809751819416
M27751,133,105.674,['difference'],1,stationary,0.0216059461528574,0.025726810985823,0.0107382537524635,0.0213818048624147,0.025506152948642,0.0106285355087939,0.0312256764800146,0.0356703619903032,0.0154104258003382,30.807115846838663,27.87622678789539,30.318254072980636,-1.04828049776451,-0.8651168901295507,-1.032298792047727,0.026306842266173726,0.030236979018931527,0.0130205860931081,0.007645055005673927,0.010403665024166075,0.00379399934954866,15.752530507991008,15.232205865611087,15.507940781088948,-23.033777716381376,-18.547783665436725,-22.505928331660087,75.51676739311957,70.83386754809425,75.38030811929028,64.24504360194338,59.21115565677658,64.3036489231319
M28057,252,2192.596,['difference'],1,stationary,0.0271089232469129,0.0325269656064,0.0134501505139884,0.0227357560293486,0.0278278083093395,0.0113947221256426,0.0219892254466648,0.0269533673183784,0.0109793293225874,-23.282756423895066,-20.67867150766411,-22.504299842048543,-19.2347560904469,-16.886551915349184,-18.038424857419,0.025921195585668903,0.03184325849780412,0.013010869899413193,0.02253387195472944,0.029155428139985545,0.011284002134481753,-17.88134897493846,-18.14204185200823,-18.503321260674575,-14.010704338172694,-14.42963148167497,-14.18330132100041,-2.4768790032449606,-8.169891337123026,-2.774967422350286,0.8879584842419911,-4.770838636977642,0.9716778517282408
M28076,252,5992.582,['difference'],1,stationary,0.3307496306162759,0.3759965453570333,0.1478196395911385,0.4269045984900479,0.4619888203952856,0.1818536756330724,0.2114336468973313,0.2551446693285148,0.0998953545296641,-56.431880861839566,-47.36602036271201,-47.97448819028235,22.52376015949935,18.61349695966144,18.71506634301121,0.35107214427168415,0.41573663084832113,0.15323089148632485,0.29389759010238564,0.35285251689217,0.13247639165683994,-66.04364982748419,-62.9415311487594,-53.39140864735875,17.763325690700327,10.011538700739619,15.739458686829053,-39.00228010780965,-38.2950769932999,-32.61516742252599,31.156143283090675,23.623148155346417,27.152205642442656
M28309,252,1275.356,['difference'],1,stationary,0.0105404895620772,0.0138045382158538,0.0052428154372175,0.0146129758830961,0.0162458894307929,0.0073475940638001,0.0368620557051035,0.0397064301444028,0.0188079128496054,71.40558397936023,65.23349451046087,72.12441657327484,27.868973120867345,15.027501112445762,28.645820772168275,0.007373571446071646,0.009151950390449012,0.0036874649543821533,0.017020122808419403,0.020436111030146982,0.00841530608910261,79.99685230509056,76.95096145091473,80.39407677040828,49.54093194254021,43.6660551616081,49.81398097984969,53.82752675385114,48.531985988602536,55.256565912473555,-16.47266747430841,-25.79250349575703,-14.531450921640882
M28336,252,390.024,['difference'],1,stationary,0.0267556929820252,0.0333508944549218,0.0134280570605221,0.0328131686303597,0.042516080826689,0.016399163159935,0.0763358343080477,0.0921510182467671,0.0365754561240095,64.9500221952713,63.808436315252656,63.28669965182622,18.460501991051085,21.55698783509189,18.11742508100441,0.04322481616269776,0.04699286022540755,0.022332798170857066,0.037986056150862,0.04396018191868444,0.019511898204617996,43.37545851890849,49.00451333096779,38.94047938831588,-31.73008876291484,-10.52961446979916,-36.182547566930744,50.23823805007221,52.295500630318124,46.65302836289264,-15.764669297180268,-3.3965997427705603,-18.981060279269354
M28401,252,17365.437,['difference'],1,stationary,0.068445158902294,0.0884978492842723,0.0348524209993868,0.1393919255690314,0.1815041270370203,0.0676236398752009,0.0561555075593952,0.0789025966420176,0.0280851728363121,-21.885032968315883,-12.160883228962089,-24.09544780983211,50.897328792263686,51.24196307325733,48.46118744316812,0.0413683759231846,0.05224617020810556,0.02057174513257969,0.11286222730141103,0.1369384480037488,0.054100163445409945,26.33246902909813,33.78396601426527,26.752292918126862,70.32225808323622,71.214885820503,69.57906263172946,-100.98158169443599,-73.55379142341897,-92.62891405625369,19.032449806055666,24.553534820826254,19.998149248914228
M28539,252,1814.164,['detrend'],1,stationary,0.0084702315147342,0.0110819689378482,0.0042769943594793,0.0192948827093025,0.0251623283049454,0.0096629213802491,0.0197782159510954,0.0210981255387849,0.009968767861424,57.17393552746056,47.47415395990463,57.096058219692594,56.1011505364035,55.958094165434666,55.73808177492272,0.0033055777106500753,0.003909772358619025,0.0016446563468583936,0.003919512066080659,0.0044677467639144515,0.0019529286843096428,83.28677511245903,81.46862690985674,83.5019094664377,82.86811192142474,84.46180213835538,82.97971925736607,80.1826814118511,78.82396350471352,80.40952792303587,79.68626124795787,82.24430303201964,79.7894590314953
M28589,252,2666.121,['difference'],1,stationary,0.0456540048450583,0.0553082344346563,0.022993906767735,0.0466364880513738,0.0596729454501248,0.0234874286532868,0.0805874302558164,0.09028912514278,0.0416554389355681,43.34847916091317,38.7431937709067,44.799749191692406,2.106683516205492,7.314388426018866,2.1012171780783877,0.027562461604885586,0.03456885990501272,0.013724570566377955,0.03543882233298269,0.04445796268696397,0.0177281046954797,65.79806364666125,61.71315222032913,67.05215233091918,40.899362802526326,42.069459376853295,41.56631290306291,56.02437970724983,50.760445827047576,57.44108056837135,24.01052520519124,25.497288006132784,24.520878989455277
M28790,252,2213.091,['difference'],1,stationary,0.0353851561006164,0.0378432948141217,0.0174607626936818,0.030220130139831,0.0356860571869245,0.0149810058100585,0.0239180395957358,0.0281277248100443,0.0119020836283891,-47.943379552415365,-34.54090250700953,-46.70341125846144,-17.091342548448228,-6.045043350957906,-16.55267286498426,0.021056224866398923,0.03188558741307347,0.01062500021935626,0.03092803687356245,0.04976069389356612,0.015873097921772945,11.965089019449119,-13.359994910385552,10.729914600723477,30.323844507055203,10.649732902528475,29.07685669394471,-29.30841070719032,-76.90977222514908,-33.3640261433897,-2.342500612856099,-39.44015622941562,-5.95482121177391
M28814,145,158.947,"['difference', 'difference']",2,stationary,0.0173879926813767,0.0207807809469554,0.0086748740265444,0.039019572226511,0.0425052228322549,0.0192062204663183,0.0427773488942373,0.0475105385628718,0.0209894838730626,59.3523368538644,56.26069167905612,58.67037951477424,55.43776702512682,51.11005292463491,54.83299776883509,0.009951652467328929,0.01258587690050823,0.004982296588461088,0.010052712654875125,0.012152377755775772,0.005042183047559571,76.73616358990971,73.50929439822484,76.26289136697045,74.49574175350007,70.38981080000951,74.05894305337962,76.49991662706951,74.42172174138955,75.97757487486109,74.2367430464934,71.40968345529059,73.74713543249187
M29080,324,290.0,['difference'],1,stationary,0.027955058711155,0.0296251350263559,0.0141468843718041,0.0334405144694533,0.0352056995322726,0.0169738311747808,0.045016077170418,0.0473357330407149,0.0230049765049702,37.899833863076935,37.41485950819767,38.505112714426176,16.403622507988196,15.851309816471776,16.654736186941697,0.03639921939300502,0.039339222428587825,0.01851282522123962,0.04505127403837015,0.04914616209366394,0.023046919202694558,19.141734062681692,16.89318005332047,19.526867513905334,-8.847665684851801,-11.74106167816969,-9.066863164901815,-0.07818732809370217,-3.8246562092781606,-0.18232010676166285,-34.720636787818734,-39.59717530569815,-35.77912355424489
