unique_id,bagging_freq,learning_rate,verbosity,n_estimators,lambda_l1,lambda_l2,num_leaves,feature_fraction,bagging_fraction,objective
M11276,1,0.05,-1,63,1.3393634384474006e-05,7.76209518928126e-07,8,0.7432408116494362,0.6923193020916432,l1
M11282,1,0.05,-1,99,5.6789638082191784e-06,0.07710769435264,54,0.5468173580528127,0.9197613247622629,l2
M11460,1,0.05,-1,188,0.00019938602767780538,0.06844122423873945,3722,0.5712073311278566,0.7865378643557737,l1
M11649,1,0.05,-1,871,0.508596108763896,0.0317823733469778,776,0.7487602476696138,0.8370595909449222,l2
M11657,1,0.05,-1,274,1.2962939273141368e-08,0.003760091693162124,2,0.8847662524276779,0.9172170368413529,l2
M11834,1,0.05,-1,118,2.206166021366604,3.331294248247217e-05,35,0.6759021060437048,0.6737597351329205,l2
M12039,1,0.05,-1,45,2.146605418212447,2.208273755195401e-06,108,0.7368128672398833,0.5322503800644556,l1
M12044,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M12238,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M12424,1,0.05,-1,44,0.008309467122232348,7.678111528156661e-07,37,0.9980475152996156,0.5524844028980402,l2
M12441,1,0.05,-1,26,9.859275725918922e-07,0.3239407597774784,892,0.6958441651695199,0.7603171606824533,l1
M12625,1,0.05,-1,66,1.0686959824197791e-08,3.9530717092544063e-07,12,0.7011178827890251,0.8927359451511935,l2
M12783,1,0.05,-1,937,1.4750901895223768e-07,9.371853416741401e-05,23,0.6576423645178112,0.8481014852347961,l2
M12827,1,0.05,-1,46,0.011523920773079233,2.2027009773903354e-06,22,0.8746751498870522,0.5554933549434973,l1
M13012,1,0.05,-1,49,0.7340474499156954,0.1110558726239499,3999,0.9944971915742348,0.9982564701325317,l2
M13110,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M13194,1,0.05,-1,71,1.888342706492754e-05,1.8735992379322976e-05,2,0.7408612226035132,0.7180105014605447,l2
M13230,1,0.05,-1,91,2.259236184478651e-08,1.8826504099159316e-05,423,0.6292669424259615,0.8267316044356687,l2
M13378,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M13713,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M13737,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M13739,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M13763,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M14066,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M14125,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M14259,1,0.05,-1,437,1.1483778636831474e-05,0.08607132347912388,6,0.6697271102844566,0.8539141517521232,l2
M14370,1,0.05,-1,40,1.4538825115132422e-05,1.94306243512413e-05,110,0.7364648472561881,0.8436188808195496,l2
M14563,1,0.05,-1,64,4.341227204257768e-06,2.200390094632106e-06,2,0.6325603017971184,0.7170745752682997,l1
M14564,1,0.05,-1,345,1.4039619065622357e-08,0.20625998936377923,34,0.6883241022497618,0.8980286745807406,l2
M14884,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M14935,1,0.05,-1,120,0.08200348925086559,0.0031671445547605914,2,0.589619614791219,0.6754002304132793,l2
M14977,1,0.05,-1,25,0.34080913635433996,3.63136877132978e-07,32,0.5317630872872303,0.529391405188073,l2
M15009,1,0.05,-1,32,1.1029866433226667,7.895290661843384e-08,10,0.6239720515833979,0.5526374734164008,l2
M15172,1,0.05,-1,477,4.687738824983491e-08,0.016239524363198272,10,0.6132161913878058,0.6853322655387983,l1
M15297,1,0.05,-1,403,1.3955325015876727e-08,0.30517599532664774,103,0.526332177732739,0.8677487993955831,l1
M15423,1,0.05,-1,529,7.326316408987164e-08,6.139530838198258,61,0.9883805440951685,0.802422759872523,l1
M15637,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M15779,1,0.05,-1,279,6.70764102420157e-05,3.3933423771448415e-08,2,0.714648581079819,0.8980286745807406,l2
M15789,1,0.05,-1,26,1.7411378873561674e-05,1.968701072795371,692,0.557285110044029,0.5536049574744817,l1
M16091,1,0.05,-1,21,2.2730129382659032,0.0001383466901211383,395,0.5009156559798373,0.9109731240690043,l1
M16105,1,0.05,-1,33,0.027986258230304234,4.0239709475948286e-06,6,0.7932564674050415,0.5100537730937468,l1
M16125,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M16299,1,0.05,-1,75,1.9180097874730532e-06,1.1982073773004364e-06,2,0.707041180889855,0.9959809716032826,l2
M16381,1,0.05,-1,33,0.027986258230304234,4.0239709475948286e-06,6,0.7932564674050415,0.5100537730937468,l1
M16482,1,0.05,-1,52,6.128787833686398e-08,8.879724409054771e-08,2,0.5504844000407408,0.8251909386336622,l2
M16648,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M16875,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M16921,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M17027,1,0.05,-1,264,4.9801048303901094e-08,0.004657381095793369,433,0.9462128564375183,0.6762636180426939,l1
M17132,1,0.05,-1,41,3.625386184225203e-07,1.9712565255685055e-06,1765,0.7525703831215884,0.8596896874528431,l1
M17325,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M17389,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
