unique_id,size,complexity,transformations,n_transformations,final_status,nmae_AutoARIMA,nrmse_AutoARIMA,smape_AutoARIMA,nmae_naive,nrmse_naive,smape_naive,nmae_seasonal_naive,nrmse_seasonal_naive,smape_seasonal_naive,%nmae_arima_vs_snaive,%nrmse_arima_vs_snaive,%smape_arima_vs_snaive,%nmae_arima_vs_naive,%nrmse_arima_vs_naive,%smape_arima_vs_naive
M15172,398,11734.081,['detrend'],1,stationary,0.22394461634824034,0.24790986141952254,0.10675954914391494,0.15190730569558347,0.19997960220856678,0.07391410643718023,0.6644345797908359,0.747715900233477,0.2458457378602422,66.29546035687393,66.84437747784796,56.57457799630215,-47.421886868967924,-23.96757403335934,-44.43731283506773
M15297,193,6424.021,['difference'],1,stationary,0.06563031651211805,0.07682089636224623,0.03207819613664936,0.16959611548976214,0.18573465714335097,0.07946945453348128,0.07339946158920638,0.08670149271280382,0.03487848217837847,10.584743959798752,11.396108695944575,8.028692382333746,61.30199307773656,58.6394388942956,59.63455855465259
M15423,193,20541.567,['difference'],1,stationary,0.16738333100260766,0.22123134337610817,0.08875862066861008,0.5409605432056345,0.6259589740217426,0.33351839847203907,0.1733729680585916,0.22357633331696708,0.09107878250375369,3.4547698658303685,1.0488542799091294,2.5474229797131795,69.05812575336377,64.6572135623023,73.38718911003308
M15637,191,1167.67,['difference'],1,stationary,0.030555435488697845,0.03455234289791371,0.015104795084316653,0.019968005217528402,0.023089451329353215,0.009951938788599938,0.02337329785485275,0.033446407961537916,0.01173515448273419,-30.727960078401793,-3.3065880726192627,-28.714071097574212,-53.021972679952725,-49.64557799599127,-51.777411469003134
M15779,331,6750.726,['difference'],1,stationary,0.025785665646811125,0.030952543875687213,0.012890512902988885,0.02476287969383922,0.029462788274382944,0.01238783852873435,0.03978066276201299,0.049604599601461886,0.020247534034374813,35.1804020936671,37.60146412959855,36.33539333182848,-4.130319113194111,-5.056397199852158,-4.057805347466801
M15789,331,3364.113,['difference'],1,stationary,0.07851566382627878,0.08862248867535734,0.038186223021132094,0.08407489143589379,0.09375205226215426,0.04075174015180248,0.09938065067274152,0.1050900924313799,0.04763200680470991,20.995019357611895,15.669986936946811,19.830749147952766,6.612232873180529,5.47141471895823,6.295478723396092
M16091,335,81706.915,"['difference', 'difference']",2,stationary,0.06815990550761471,0.08245313018343306,0.03386365780162785,0.0995260663507109,0.11674554872191215,0.048373560659282694,0.08846761453396526,0.09870571410005545,0.044412451433623476,22.95496395299982,16.465697112679376,23.751883292822278,31.515523513777605,29.37364114854915,29.99552371150592
M16105,335,411.677,['difference'],1,stationary,0.02174405357198717,0.02411798787075234,0.010844962977324934,0.022165793789345606,0.025098476848655016,0.011052867339716976,0.03994075014547955,0.04500230400920652,0.01960760206439208,45.5592258713545,46.40721535986622,44.69000879500879,1.9026623696244718,3.906567652750688,1.8809993461603014
M16125,335,6658.39,['difference'],1,stationary,0.08579263823466826,0.10140329495160347,0.04222574704034081,0.07925487125699851,0.09525988285514023,0.03912944152921135,0.11414769621674324,0.13276178739441213,0.05837354541627044,24.84067477650578,23.62011920617493,27.66287067331148,-8.249041193278629,-6.449107339136038,-7.912981607002926
M16299,335,2313.64,['difference'],1,stationary,0.05566354450171441,0.06592829962100925,0.02794546189769163,0.05321760292371561,0.061836171151150136,0.026697902811191228,0.11246663242191778,0.1276692751275937,0.05912181811062364,50.506614003615745,48.360089336200915,52.73240439696476,-4.596113773679208,-6.61769380878461,-4.6728729792867885
M16381,335,15847.437,['detrend'],1,stationary,0.34308053041430703,0.40014492365262244,0.1591377983963866,0.4798195770605119,0.5299928306834376,0.20620333914816621,0.25733700427625794,0.33057223133383523,0.1264952307216411,-33.31954779655443,-21.04613930760802,-25.805374233102157,28.49801324987625,24.499936511098348,22.82481988226241
M16482,335,4670.721,['difference'],1,stationary,0.13786895865729656,0.2167589272729912,0.06676394922875836,0.14943339271575612,0.22811830116201978,0.07332631259612762,0.15085300376088678,0.215629295477315,0.0739272455299318,8.60708423424627,-0.5238767734113627,9.689656702106051,7.738855317604131,4.979597792533378,8.949534123601657
M16648,87,11288.53,"['detrend', 'detrend']",2,max_diff_reached,0.19337729985716123,0.2183648147744733,0.09258550495474455,0.32670744138634045,0.35318357081473783,0.14570051945181497,0.16699229810850608,0.2000509458551821,0.08246608898816014,-15.80013093269191,-9.154602514375869,-12.271002651813975,40.81025548833848,38.172431330613506,36.45492459252092
M16875,87,6588.118,"['detrend', 'detrend']",2,max_diff_reached,0.25420592359086075,0.2777153237559085,0.12500146462963257,0.1911828895678743,0.22906776315813124,0.09507254726162487,0.2372326494980358,0.3259177831900455,0.12504521975220673,-7.154695666359147,14.789760461161983,0.0349914396254876,-32.964787887365745,-21.23719196759897,-31.480083609885806
M16921,87,1120.395,['difference'],1,stationary,0.03227425058190558,0.04714800914015389,0.01576181364202428,0.06281901954654734,0.08635485688443406,0.03151509465090329,0.09152045753560965,0.1103785657890488,0.04711069724859522,64.73547942070984,57.28517687912223,66.54302618606589,48.62344109336002,45.4020180900183,49.986462624910715
M17027,335,29370.834,['detrend'],1,stationary,0.44926731073020276,0.581828941356859,0.21673945738844522,0.44599559147685525,0.5758038251970643,0.21582415687248194,0.45595558821128257,0.5450767748531877,0.22109305040036198,1.4668703825558917,-6.742566955557814,1.9691225047703418,-0.7335765904128451,-1.046383489677701,-0.4240954901559413
M17132,1291,415.157,[],0,stationary,0.05118225649466584,0.05741918048836793,0.025119324818016996,0.05073142773541354,0.057067578581993884,0.024905134499172022,0.028947114007747916,0.039073035167550695,0.014408592182060725,-76.81298550510603,-46.95346865721174,-74.33573315574552,-0.8886577401360914,-0.6161149905263085,-0.8600247424967533
M17325,87,5244.445,['difference'],1,stationary,0.3678246992604626,0.4285031585687226,0.16613343726829194,0.39915966386554624,0.4563431078206218,0.1769568755832515,0.21362229102167182,0.2560349704607907,0.10017372565168253,-72.18460559583974,-67.36118421539754,-65.84532140289976,7.850233237905171,6.100661711503805,6.1164271121341836
M17389,87,1282.809,['detrend'],1,stationary,0.24388481314355737,0.2757156716268952,0.11210009202901339,0.21420118343195269,0.2476796136033668,0.10023183630779636,0.714792899408284,0.8359152141811599,0.2477448280859621,65.88035312809504,67.01631134959317,54.75179324828646,-13.857827130555775,-11.319485530377662,-11.840804437395978
M17603,87,10591.506,['difference'],1,stationary,0.3860640301318268,0.43484477751172557,0.19534706425976686,0.3860640301318268,0.43484477751172557,0.19534706425976686,0.2297551789077213,0.297080606217738,0.11630388236882218,-68.03278688524591,-46.372657255525,-67.96263399039717,0.0,0.0,0.0
M17618,87,1390.396,['difference'],1,stationary,0.2887133638792094,0.3402362337528034,0.14545268444408116,0.2974107767669699,0.34992162250252606,0.1489475840460975,0.1644506648005598,0.20949568726885423,0.08243865233324328,-75.5622965886767,-62.407273480606094,-76.43748451407853,2.9243771803787815,2.767873754258433,2.3463956293072328
M17869,87,939.202,"['difference', 'difference']",2,stationary,0.1440323665658848,0.17733330491048768,0.07465633887220574,0.13184079601990048,0.16489835667152503,0.06764466295626054,0.14738805970149252,0.18410691272461038,0.07678622815184931,2.276774076817385,3.679170821931469,2.7737907316290964,-9.247191244312642,-7.54097766039772,-10.3654532516172
M17882,87,1071.868,['difference'],1,stationary,0.20889791075822636,0.2396420875857327,0.1007007795286555,0.2135761589403974,0.2458985522083423,0.10264343529213119,0.12996688741721857,0.1595986988052281,0.06697788610167599,-60.7316408891321,-50.15290812501446,-50.34929495354089,2.1904355829699984,2.544327555580201,1.8926254347847358
M17963,87,7355.27,['detrend'],1,stationary,0.39717356459813863,0.46439318890504183,0.18064714700868256,0.26186830015313933,0.3227064501470618,0.13130966413470824,0.6431852986217458,0.75719011266469,0.24624473772886254,38.248967218432256,38.66887837840915,26.639184790380693,-51.669203323148864,-43.90576596575973,-37.57338288776665
M18002,87,3817.421,['detrend'],1,stationary,0.36087991851547846,0.4068751514453113,0.16477956014556294,0.6334012219959266,0.6789877725058748,0.25133709267845056,0.3410273817605793,0.35938054797898117,0.15105992092543902,-5.821390837418677,-13.215685638363459,-9.082249703345031,43.02506752697751,40.07621817051339,34.43882142920522
M18281,87,4736.032,['difference'],1,stationary,0.40537971983716997,0.4537007084690931,0.17973316299971331,0.49096385542168675,0.5378593803409565,0.20760547194689305,0.7740963855421688,0.8086718357288087,0.2861906505850692,47.63188055021774,43.895571921309816,37.198101114666486,17.431860744821822,15.646965535585533,13.425613826936928
M18352,87,7736.278,['difference'],1,stationary,0.5081917091624667,0.5875353681246808,0.22114317808039882,0.5450081833060557,0.6245144046970056,0.23334207567225013,0.21112929623567922,0.26541175289832236,0.10905775166745234,-140.70165449478074,-121.36750227099478,-102.77621232714056,6.755214925445312,5.92124637865893,5.227903093219137
M18514,95,151557.085,"['detrend', 'detrend']",2,max_diff_reached,1.9904315795710645,2.3790776542016547,0.4615684143499744,0.2774869109947644,0.3175210303676713,0.13468416878805137,0.5741710296684118,0.8458049960777239,0.20308487496492778,-246.66179182195137,-181.2796880172405,-127.2785772104821,-617.3064749020251,-649.26616717224,-242.70428254736566
M18641,97,48548.532,['detrend'],1,stationary,0.2444959303656832,0.3006268647686775,0.11957783563297632,0.452054794520548,0.49489797004090635,0.19788338549909715,0.31506849315068497,0.3811469983358148,0.16727733999803907,22.39911775350056,21.125742539940955,28.515221706431916,45.91453661607614,39.254779173204355,39.571563660395384
M18687,87,3338.428,"['difference', 'detrend']",2,max_diff_reached,0.4304445380537693,0.5171525745334806,0.19998397441343643,0.46186579378068743,0.5549784713012632,0.2105031019975049,0.09558101472995091,0.12475610445688182,0.0516375607215364,-350.3452273131045,-314.5308774948314,-287.28392979653165,6.803113837401477,6.815741280754882,4.997136614259091
M18785,87,1462.361,['difference'],1,stationary,0.25223401644591753,0.30636209821762533,0.12153747688765189,0.2670398419492921,0.3207866071350243,0.1273431587793419,0.23312479420480736,0.26787875730495864,0.1123385950569581,-8.196992647775648,-14.365954695264053,-8.188532023237206,5.544425653976391,4.496605717497265,4.559084247116886
M18980,87,1771.638,['difference'],1,stationary,0.4788732394366197,0.5004818150670958,0.1971664299040006,0.4788732394366197,0.5004818150670958,0.1971664299040006,0.431924882629108,0.453276112627737,0.17957565336353018,-10.869565217391294,-10.414337116883878,-9.795746923921767,0.0,0.0,0.0
M19150,87,6377.304,['detrend'],1,stationary,0.30081397296698537,0.3692429874668015,0.14245953644535947,0.381294964028777,0.4448231167513874,0.1712720381462556,0.2601918465227818,0.3344743509671461,0.1256269765916733,-15.6123748638091,-10.395008286620627,-13.398841801627706,21.10727878790384,16.991052496677643,16.82265360577543
M19159,87,7058.328,"['difference', 'detrend']",2,max_diff_reached,0.476411982631796,0.5376941381738654,0.20634555484411657,0.5348837209302326,0.5935155275554568,0.22494665605668818,0.18720930232558142,0.22515543576425479,0.09122595567016384,-154.48093482195313,-138.81019632004308,-126.19171630295509,10.931672812316409,9.405211285963466,8.269116571301241
M19350,87,5300.943,['detrend'],1,stationary,0.26252505010020044,0.28339536070683785,0.11846602467130994,0.26252505010020044,0.28339536070683785,0.11846602467130994,0.342685370741483,0.3950590618664528,0.14447383560157945,23.391812865497066,28.26506513533972,18.001744621768164,0.0,0.0,0.0
M19505,87,1295.724,['difference'],1,stationary,0.31367360611621914,0.3497406832980188,0.14051698986009045,0.25964306275187105,0.29621922728177336,0.12003515590456182,0.2872769142199194,0.3049374301978212,0.1290292430059323,-9.188587940655838,-14.692605322715702,-8.903211850688754,-20.809546302410784,-18.06819108515669,-17.063196028847948
M19519,87,680.294,"['difference', 'detrend']",2,max_diff_reached,0.18199219429385788,0.19422971813023823,0.08444517164248858,0.16939890710382513,0.18242238190971632,0.07913163012796146,0.10200364298724954,0.12197208774341134,0.0492234062144973,-78.41734762022854,-59.241119606670075,-71.5549128691093,-7.434101792825784,-6.472526066656416,-6.714813666715505
M19697,87,3865.23,['difference'],1,stationary,0.2403100569704305,0.25923799634675265,0.10937858594021393,0.265792610250298,0.2835858888042672,0.1193881161386597,0.2181168057210965,0.2321167919015611,0.09893399055472162,-10.174938687536187,-11.684292300874747,-10.557135446502873,9.587382153277495,8.58572073532179,8.384025581591805
M19774,87,647.225,"['difference', 'detrend']",2,max_diff_reached,0.11673135588975334,0.14968771897896657,0.061260793122479465,0.20546163849154744,0.24648482182987747,0.09739181277147796,0.4908972691807542,0.5103902825284372,0.19768625023667757,76.22081783331913,70.67191047654272,69.01110064603093,43.18581475998713,39.27101966453729,37.0986211477314
M19935,87,5303.772,['detrend'],1,stationary,0.30644463067669786,0.3572520999018165,0.14029020695148262,0.24248927038626614,0.2866795374877123,0.11578140074764469,0.22639484978540772,0.2788007079853968,0.10905588585687065,-35.35848141738503,-28.13887829887752,-28.640655980370607,-26.37451141180635,-24.617230456195045,-21.16817212918069
M19963,87,1517.432,"['difference', 'difference']",2,stationary,0.21156870735136452,0.22436092397031832,0.09605546740121841,0.10700778642936597,0.11735382652031381,0.051416527871783066,0.08921023359288098,0.10613679601894296,0.04581097249302668,-137.15744128288864,-111.38844621828896,-109.67786138100412,-97.71337620465353,-91.18330490184886,-86.81826909967756
M20107,87,761.643,"['difference', 'difference']",2,stationary,0.24716523576659474,0.28495306392139175,0.11404613170833186,0.25722543352601157,0.29109082802344904,0.11802758437844243,0.18304431599229287,0.23170107628878858,0.08767081162321905,-35.03027090827649,-22.983055791346747,-30.084494025748793,3.911043173885643,2.1085391606920934,3.3733238641438983
M20305,87,673.127,['difference'],1,stationary,0.21956929797094302,0.24998792935064623,0.10232521950990128,0.2309913378248316,0.26224448210955625,0.10691333724586363,0.21462945139557268,0.250188785629657,0.09987635194163806,-2.301569772112007,0.08028188733770997,-2.4518992941334075,4.9447914200792695,4.673712354332656,4.291436273672075
M20356,87,3240.37,"['difference', 'difference']",2,stationary,0.18627426203045547,0.24101079116881916,0.09306177974829095,0.15254237288135594,0.18417732484347288,0.07873706651996776,0.22203389830508477,0.2995256232208096,0.10669704454980981,16.10548503971854,19.53583517255666,12.779421266119002,-22.113127331076356,-30.858014890621003,-18.193099973683225
M20570,87,3061.046,['detrend'],1,stationary,0.2180508950857384,0.23904521057602107,0.12260007137301088,0.13450292397660818,0.15042772708930538,0.07014116478865842,0.1976608187134503,0.21589642193565137,0.0941996207761181,-10.315689525625057,-10.722173361107984,-30.149219670842864,-62.11610025939682,-58.9103386732059,-74.79046967984608
M20710,87,2321.637,"['detrend', 'detrend']",2,max_diff_reached,0.19248317399200934,0.23214974753662557,0.09832231759846263,0.3010033444816054,0.3656361302666608,0.1413642388567086,0.42474916387959866,0.49235494901880794,0.18348501916712415,54.68309525699937,52.849108554861424,46.41398080084813,36.05281219598801,36.50798476416506,30.447531572588638
M20880,87,1590.786,"['difference', 'detrend']",2,max_diff_reached,0.47639555234069764,0.5462608242234104,0.20633728142407548,0.46904315196998125,0.5396557023269761,0.20484283275527074,0.2185741088180113,0.2722277318814955,0.10954854318257279,-117.95607673613029,-100.66318021604252,-88.35237368715649,-1.5675317590367328,-1.223951098441692,-0.7295586810157946
M20917,87,1015.037,['difference'],1,stationary,0.28353747650961914,0.35567984002288605,0.13523053627822357,0.27008547008547007,0.3421323857255575,0.1301585318331665,0.32564102564102565,0.39184655317614947,0.14553395480571693,12.929436347439797,9.229815309107785,7.079735132085217,-4.980647948181774,-3.959711171042339,-3.896789840529406
M20998,204,2569.047,['difference'],1,stationary,0.07605775706041619,0.09471315993269092,0.03778608128861878,0.09345140992775577,0.11332502876716231,0.04739017334428625,0.11092985318107669,0.13009974478413347,0.056942155124272364,31.436169002889535,27.19958052966003,33.64128701108478,18.612509838841433,16.423440644088746,20.26599899919003
M21120,204,28458.742,['difference'],1,stationary,0.4044728247279209,0.522583523806609,0.2142460058135367,0.31906614785992216,0.38388522145693416,0.1574202667401894,0.2947470817120622,0.384217848866586,0.14557443711646323,-37.22708376907681,-36.01229754114532,-47.17282103734633,-26.767702384238635,-36.13014896048416,-36.09810874424066
M21180,204,1189.322,['difference'],1,stationary,0.016631178257021713,0.018937815955651294,0.00831733887756194,0.013676078034784041,0.016414438930600506,0.0068352730623345605,0.024894460188854526,0.03018203819739718,0.012371710194274611,33.19325612664764,37.25468163616451,32.77130851795216,-21.607804625870106,-15.372910616802136,-21.682613140859456
M21356,204,5773.231,['difference'],1,stationary,0.18623495682596572,0.23704936947639582,0.10350816522084931,0.6883942766295708,0.7463547429146887,0.27041547856165704,0.27291997880233176,0.35226018893083727,0.13033847173408236,31.7620653338646,32.70617091421078,20.585101356698786,72.94646932020036,68.23904829080834,61.72254422290824
M21498,243,259.294,['difference'],1,stationary,0.01655046591636482,0.020187843322893667,0.008239709770002553,0.011822461961806254,0.014018475646295913,0.005909232524282471,0.0067033001362853655,0.008346710435709713,0.0033717269899139184,-146.90026673244358,-141.86586414360394,-144.37654040942726,-39.991703672491376,-44.00883400063458,-39.43790054196691
M21578,386,6782.33,['difference'],1,stationary,0.05147314074401872,0.07657317643737982,0.02531479854937484,0.058823529411764705,0.09196893646712606,0.029048656499636893,0.1699346405228758,0.19607843137254902,0.09499299719887955,69.71003640832744,60.94768001693629,73.35087922704956,12.49566073516817,16.740174042622964,12.853805993777117
